isbn13,title,authors,categories,thumbnail,published_year,average_rating,ratings_count,description
9780002005883,Gilead,Marilynne Robinson,Fiction,http://books.google.com/books/content?id=KQZCPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2004.0,3.85,361.0,"The book, Gilead, has been eagerly awaited by readers and critics for more than ten years, featuring John Ames as the preacher's son and grandson."
9780002261982,Spider's Web,Charles Osborne;Agatha Christie,Detective and mystery stories,http://books.google.com/books/content?id=gA5GPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2000.0,3.83,5164.0,"Agatha Christie's final play novelisation is a Christmas classic that draws inspiration from her well-known play by Charles Osborne, and includes hints for how to spend the Christmas season."
9780006163831,The One Tree,Stephen R. Donaldson,American fiction,http://books.google.com/books/content?id=OmQawwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1982.0,3.97,172.0,The second volume of Stephen Donaldson's acclaimed trilogy features the captivating anti-hero Thomas Covenant.
9780006178736,Rage of angels,Sidney Sheldon,Fiction,http://books.google.com/books/content?id=FKo2TgANz74C&printsec=frontcover&img=1&zoom=1&source=gbs_api,1993.0,3.93,29532.0,"The Dark Arena of organized crime and its flashy courtrooms are where ambitious prosecutors begin their journey to political power, leaving Jennifer as a beautiful and fearless attorney who struggles against an enemy with more powerful plans than hate."
9780006280897,The Four Loves,Clive Staples Lewis,Christian life,http://books.google.com/books/content?id=XhQ5XsFcpGIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002.0,4.15,33684.0,"Lewis' study on the nature of love categorized it into four groups: Affection, Friendship, Eros, and Charity. While the former is a natural human trait, charity is defined by God's gift-love, while the latter lacks the divine Love; otherwise, these natural loves are distorted and can be dangerous without this supernatural love."
9780006280934,The Problem of Pain,Clive Staples Lewis,Christian life,http://books.google.com/books/content?id=Kk-uVe5QK-gC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2002.0,4.09,37569.0,"The Problem of Pain, written by the eminent Christian philosopher and author C.S. Lewis, offers an answer to the universally relevant question: ""If God is good and all-knowing, why does he allow his creatures to suffer?"" Through his unique combination of empathy and compassion, Lewis shares insights that are both timely and poignant, and also provides hope for those who seek true knowledge of human nature."
9780006353287,An Autobiography,Agatha Christie,"Authors, English",http://books.google.com/books/content?id=c49GQwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1977.0,4.27,3975.0,Contribution.
9780006380832,Empires of the Monsoon,Richard Hall,"Africa, East",http://books.google.com/books/content?id=MuPEQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1998.0,4.41,65.0,"Until Vasco da Gama discovered the sea-route to the East in 1497-9, there was little knowledge about the exotic cultures and wealth of the Indian Ocean and its people. Richard Hall recreates this civilization and how it was destroyed by Western conquerors who were brutal, betrayal, and colonial ambition."
9780006470229,The Gap Into Madness,Stephen R. Donaldson,"Hyland, Morn (Fictitious character)",http://books.google.com/books/content?id=4oXavLNDWocC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1994.0,4.15,103.0,"According to the reissue, the fourth book in his popular five-volume sf series is now available as a new-cover work. The events were not as planned for the Amnion and humans had been dishonestly dealing with aliens. Meanwhile, Thanatos Minor detonated, and the Trumpet was launched into space without warning, much to their disappointment. Morn Hyland and her crew were on board; while they were transported to Kyga by an aircraft carrier."
9780006472612,Master of the Game,Sidney Sheldon,Adventure stories,http://books.google.com/books/content?id=TkTYp-Tp6_IC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1982.0,4.11,43540.0,"One of the most powerful women in the world, Kate Blackwell, is a mystery. However, during her ninetieth birthday celebrations, there are ghosts of friends and enemies who have vanished."
9780006479673,If Tomorrow Comes,Sidney Sheldon,Adventure stories,http://books.google.com/books/content?id=l2tBi_jLuk8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,1994.0,4.04,49170.0,"It is one of Sidney Sheldon's most popular and best-selling titles, repackaged for new fans."
9780006480099,Assassin's Apprentice,Robin Hobb,American fiction,http://books.google.com/books/content?id=qTaGQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1996.0,4.15,133972.0,An alternate universe with a romantic storyline.
9780006482079,Warhost of Vastmark,Janny Wurts,Fiction,http://books.google.com/books/content?id=uOL0fpS9WZkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1995.0,4.03,2966.0,"Lysaer, the wily half-brother of the Lord of Light, deceives him once more when he arrives in Merior, where Arithon's ship yards have been deserted and destroyed, while the Master of Shadow has vanished into thin air. Meanwhile, Aritheon and the Mad Prophet Dakar are trekking through the rugged Kelhorn Mountains to the Vastmark clans, there to rally additional support for his cause. But raising a warhost is hardly naive as it seems sorely."
